OTU,avg_11,avg_22,avg_33,avg_44,avg_55,avg_66,avg_77,avg_88,avg_99,avg_166,avg_365
741139,373.2,929.2,40.25,43,119.4,58,1365,112.8,96,23.66666667,32.2
590450,0,0,0,0,3.4,0,0,0.4,10,0,1
545324,0,0,0,0,1.2,0,0,4.2,16,6.666666667,15.2
4298398,0,0.2,0,0.8,0,15.8,0,295.8,11.4,0,27.2
1136403,0,0,0,1,0,8,0,150.2,4.4,0,9.2
328917,0,0,0,11,0,0,0,0,0,0,0
859868,0,0,0,0,2.4,0,2.333333333,0.6,71.2,0,0.6
593138,0,0.2,0,0.8,145.4,6.4,25.33333333,62,2.8,4.666666667,10
563768,0,0,0,0,0,0,5,2.6,1.8,0,8
104893,0,0,0,0,0,0,5.333333333,1,0.6,0,0.2
543895,0,0,0,0,0,0,0,1.2,0,0,23
151868,0,0,0,0,0,0,0,1.2,0.2,6,0
934094,0,0,0,0,0,0,0,0,4.6,0,33.6
2207032,0,0,0,0,1.4,0,11,0,45.4,0,0.6
834677,0,0,0,2.8,0,0,0,5.6,0,0,0
640055,0,0,0,1.6,1.2,5.6,1.333333333,1.4,0,0,0.4
211795,0,0,0,0,0,2,0,6.4,0,0,0
115012,0,69.2,114.25,103.2,616.4,501.2,35.33333333,262.2,2,2.333333333,1.4
1089636,0,10.4,127.75,67.8,137,262.6,203.6666667,103.6,7.8,16.66666667,6.4
564026,0.4,172.4,420.75,208.4,403.4,275.6,149,132.2,4,26.33333333,1.8
4390330,63.2,124,160.75,157.2,419.2,111,34,76.8,6.4,4.666666667,3.2
716984,0,2.2,11.5,3.8,6.4,6.8,10,2.8,0.6,0,0
629486,0,0.6,0.75,0.8,1.4,1.4,2.333333333,0.6,0,0,0
718320,0,0,0,0,3.6,10.2,19.66666667,8,7,24,5.8
515774,0,0.2,0,4.4,3.6,3.6,0.333333333,0.4,0,0,0
308136,0.2,0,0,0,25,7,100.3333333,21.6,26.8,0,62.8
552035,0,0,0,1.4,0.8,1.6,10,20,0,7,3.2
826749,0,0,0,20,12.6,80,12,15,1.6,3.333333333,12.2
254488,0,0,0,0.6,4.6,5.8,7,6.2,1.2,0.666666667,0.4
4467447,0,0,0,0.8,0,0.6,0,0,0,0,0
4433823,0,0,0,180.6,0,0,0,0,0,0,0
1135084,0,0,0,0,0,0,0,0,0,0,0
4390319,0,0,0,630.2,0,85.8,0,0.8,0,0,0
606755,0,0,0,0,0,0,0,242.6,0,0,0
227654,0,0,0,11.2,0,0,0,0,0,0,0
110974,0,0,0,0,0,0.2,8.333333333,0,0,0,0
752012,0,57.8,91.5,171.4,110.2,100,419.6666667,747.6,5.8,775.6666667,9.2
1772340,0,0,0,0,7.4,0,0,0,0,0,0
4440944,0,5.4,117.5,117,978.4,464.4,598.3333333,470.8,20.6,28.66666667,58.4
1639372,0,0,0,0,0,2,0,0.2,43.2,0,2.2
1126475,0,0,0,0,0.4,0,0,0,0,0,0
2368719,0,0,0,0,0,0,0,0.4,0.8,0,1.2
828941,0,0,0.25,3,6.6,12,152.6666667,24.8,0.8,0,79
4341023,0,0,0,1,0,0.2,0,0,0,0,0
