,avg_11,avg_22,avg_33,avg_44,avg_55,avg_66,avg_77,avg_88,avg_365
516292,1.6,1.6,4.2,1,2.4,0,0,0.8,0
817734,0.6,0,0,0,0,0.4,0,0,0.5
333782,400,151.6,453.4,1054.6,5.2,160.8,350.25,7.6,1284.6
541223,5.2,0,0,34.8,1.2,2,0.75,5.8,23.9
780555,28.4,10.6,34.4,99,0.4,19.4,42.25,5.2,109.9
448893,2,0,0,0,0,0,2.5,1,0.1
834280,0,0,0,0,0,0,0,0,0
1142199,0,0,0,0,0,0,0,0,0
536008,0,25,0,46.8,23.6,3.6,14.5,3.6,28.8
4319686,0,0,0,0.4,0.2,0,0,0,0.2
3330580,0,146.2,0.8,461.4,159.6,40.2,224,55,208.6
316000,0,0,0,0.2,0.2,0.2,0.25,0,0.1
544847,1.8,5.2,183.6,217.6,2.8,0.4,13,37.6,42.1
391286,23.4,0,0.2,1.2,0,0,0,0.4,0
1139932,0,0.4,3.8,9,0,0,0.25,2.6,1.9
4483911,0,0,0,0,0,0,0,0,0.1
252345,0,0,0.4,0,0,0.2,4.5,0,0
4008562,0,1.8,0.2,1,26,0.4,1.75,10.2,3.5
750541,0,0.6,1,0,1.2,1.6,0,1,1.1
1052930,0,0,0,0,0,0.8,4,0,0
541979,0,0,0,0,0,0,18,0,0
4316354,0,0,0,0,0,0,0,0,2.1
542155,0,0,0,0,0,0,0,0,4
338140,5.8,758.4,1236,1649.8,661.2,470.6,1694,70.4,44.5
2317377,0,0.2,0.6,3.2,1.6,1,2.75,0,0
142419,16.8,64.4,38.2,4,15,0.6,3.25,0.4,0
276867,385.2,165.2,1100.6,411,197.6,54.8,41.75,17.8,35.9
533787,1,0,0,0.2,0,0.2,0.5,0,0.2
108909,0.4,0.6,0.4,1.6,0,0,0,0,0
813216,1.8,0,1.8,0,0.4,0,0,0.2,0.1
541859,4378.2,489,4284,1169.6,414.4,820,32.75,150,1437.2
553648,268.6,94.2,303.4,177.2,74.6,81.2,9.5,13.6,79.3
4382017,1.4,0,2.4,0.4,0,0,0,0.2,0.5
279948,117.4,11,129.6,31.6,13.8,30.4,1.5,8.6,39.1
4386920,5.8,0,5.8,1.2,0.6,1.8,0,0,6.1
4435982,11.8,5,23.8,9.6,5,3,0.25,7.2,1.1
4399692,0,0,0,0,0,0,0,0,0
315994,0,0,0,0,0,0,0,0,4.5
147181,0,0,0,0,0.6,4,0.25,0,0
8028,0,0,0,4,0.8,1.2,1.5,0,0
22253,0,0,0,0,0,0,0,0,4.2
4344815,0,0,0,0,0,0,0,0,13.5
332557,0,3.8,6.6,7.2,5.6,2.6,7,0.8,3.6
350105,7.4,5.4,12.4,2.6,0.4,2,0,0,3.5
4386593,0,0,0,2.4,0,0,0,1.4,41.3
591223,0,0,0.6,0,2,15.6,1.5,6.6,0.8
4452146,0,0,0.4,6,1.4,17,5.5,6.4,5.8
818777,0,1,0.8,0.4,0.8,0,0.75,0.8,2.6
